,id_factura,user_id,email,nombre,ciudad,direccion,documento_identidad,subtotal,precio_envio,total,fecha
13349,1,walter.mack3198,jorgepinto@example.com,Walter Mack,Cartagena,"Carrera 113 # 38-41 Este, Villamaría, 547976",9164109470,1915998,10000,1925998,2023-08-17
235,2,rose.weinberg7248,lramirez@example.com,Rose Weinberg,Medellín,"Cr. 188 # 6E-75, Coyaima, 762227",3650971655,7139508,10000,7149508,2023-09-22
12172,3,amber.johnson6329,alejandra87@example.net,Amber Johnson,Bogotá,"Avenida Ramírez # 5-34 Este, Andes, 207821",4130009203,24636408,10000,24646408,2023-02-19
5192,4,john.mayle4973,alejandro26@example.org,John Mayle,Cali,"Avenida calle 117 # 67-92 Sur, Cácota, 085751",2237551332,3506658,10000,3516658,2023-10-19
905,5,catherine.griffin5400,yrodriguez@example.org,Catherine Griffin,Cartagena,"Calle 44 # 2-2, La Belleza, 919223",6125126263,18026813,10000,18036813,2023-02-04
10955,6,michelle.donaldson9308,arturovalencia@example.org,Michelle Donaldson,Cali,"Transversal 173 # 4-53 Este, Atrato, 502502",8008812124,5575845,10000,5585845,2023-04-18
7813,7,richard.engstrom3679,malarcon@example.org,Richard Engstrom,Cali,"Tr. 17 # 1-62, Cartago, 446717",317474459,3446216,10000,3456216,2023-01-29
2895,8,john.hughes726,velezleonardo@example.com,John Hughes,Bogotá,"Avenida Sanabria # 4S-87 Sur, Anorí, 250602",1257592088,11691164,10000,11701164,2023-12-16
5056,9,sherry.jeppesen4608,moralesesteban@example.com,Sherry Jeppesen,Medellín,"Tr. 8ª # 94-81, Salamina, 175409",9885120106,3248547,10000,3258547,2023-10-11
144,10,flora.jansen1291,luis50@example.net,Flora Jansen,Cali,"Cr. 199 # 2-3, Bosconia, 250756",7635922934,1613871,10000,1623871,2023-09-10
4225,11,jeffrey.rudolph4153,tovarnicolas@example.net,Jeffrey Rudolph,Medellín,"Avenida Tibasosa # 9-9 Sur, Sucre, 276053",6842443838,14422224,10000,14432224,2023-01-10
7751,12,brenda.moore1526,palaciosantonio@example.org,Brenda Moore,Medellín,"Avenida Claudia Vargas Molina # 4-5 Sur, Armero, 474686",9410643194,8768372,10000,8778372,2023-11-10
10989,13,jesus.bankston6906,kevinvega@example.com,Jesus Bankston,Cartagena,"Av. calle 3ª # 3-5 Sur, El Rosario, 545300",5965690557,7095955,10000,7105955,2023-06-02
14844,14,elaine.breed3223,zmurillo@example.org,Elaine Breed,Cali,"Tr. 5N Sur # 6X-8, Urumita, 156807",6517295264,28140246,10000,28150246,2023-03-06
3462,15,paul.cooper2339,elena93@example.com,Paul Cooper,Bogotá,"Cr. 2 Bis # 50-2, Briceño, 682584",5072271921,7116088,10000,7126088,2023-03-14
9394,16,erma.plowman5062,romeroedgar@example.net,Erma Plowman,Cali,"Calle 28 # 1-94 Este, Valparaíso, 198569",3376719417,10069080,10000,10079080,2023-11-24
5396,17,elva.adams8997,javiergonzalez@example.org,Elva Adams,Cali,"Diagonal 61 # 76-1 Sur, Isnos, 110362",9718616408,3426038,10000,3436038,2023-05-02
5374,18,phyllis.dotson7243,adrianalondono@example.org,Phyllis Dotson,Cali,"Cr. 50I # 1-5, Cubará, 472412",6961332101,20593986,10000,20603986,2023-04-28
12645,19,william.rivera2831,ruizrafael@example.com,William Rivera,Bogotá,"Av. Vargas # 22-9 Este, Totoró, 158459",7969489676,7706065,10000,7716065,2023-06-01
2962,20,john.baker9395,fjimenez@example.org,John Baker,Medellín,"Cr. 79V Este # 89-90 Sur, Puerto Guzmán, 131022",1700095632,2054361,10000,2064361,2023-10-18
2516,21,john.holland8626,johanvelasco@example.org,John Holland,Cartagena,"Tr. 2 Sur # 49-1, Buriticá, 634175",5108743220,8304882,10000,8314882,2023-06-19
8444,22,lula.parker6923,yennycastaneda@example.net,Lula Parker,Bogotá,"Carrera 5Q Este # 9-17, San Bernardo del Viento, 411970",1782545924,2641809,10000,2651809,2023-03-06
3562,23,douglas.hendricks8509,samuel13@example.org,Douglas Hendricks,Bogotá,"Carrera 29M Bis Z # 92-3 Este, Maceo, 522755",1408387673,2503782,10000,2513782,2023-09-23
